,neighbourhood_to_keep
0,other
1,Williamsburg
2,Bedford-Stuyvesant
3,Bushwick
4,Upper West Side
5,Mid-Wilshire
6,Harlem
7,Hollywood
8,Hell's Kitchen
9,Venice
10,Upper East Side
11,Crown Heights
12,Astoria
13,Lower East Side
14,East Village
15,East Harlem
16,Mission District
17,West Hollywood
18,Chelsea
19,Greenpoint
20,Washington Heights
21,Hamilton Heights
22,Alphabet City
23,Clinton Hill
24,West Village
25,Park Slope
26,Long Beach
27,Santa Monica
28,Flatbush
29,Downtown
30,Capitol Hill
31,Chinatown
32,Hollywood Hills
33,Midtown East
34,Silver Lake
35,Echo Park
36,Allston-Brighton
37,Richmond District
38,SoMa
39,Western Addition/NOPA
40,Financial District
41,Pasadena
42,Lefferts Garden
43,Bernal Heights
44,Kips Bay
45,Midtown
46,Noe Valley
47,Jamaica Plain
48,North Hollywood
49,Mar Vista
50,Sunnyside
51,Columbia Heights
52,Back Bay
53,Greenwich Village
54,Dorchester
55,Jamaica
56,Fort Greene
57,Near Northeast/H Street Corridor
58,Westlake
59,West Los Angeles
60,Prospect Heights
61,Westwood
62,Ridgewood
63,Lakeview
64,The Castro
65,Morningside Heights
66,South LA
67,Fenway/Kenmore
68,Sherman Oaks
69,South End
70,South Boston
71,Outer Sunset
72,Logan Circle
73,U Street Corridor
74,Nob Hill
75,Dupont Circle
76,Marina Del Rey
77,Mid-City
78,South Robertson
79,Soho
80,Del Rey
81,Logan Square
82,Westchester/Playa Del Rey
83,Beverly Hills
84,Gramercy Park
85,Flushing
86,Pacific Heights
87,Adams Morgan
88,Beacon Hill
89,Glendale
90,Los Feliz
91,Nolita
92,Murray Hill
93,Studio City
94,Malibu
95,Roxbury
96,East Flatbush
97,East Boston
98,Flatiron District
99,East Hollywood
100,Redondo Beach
101,Carroll Gardens
102,Burbank
103,Boerum Hill
104,Woodland Hills/Warner Center
105,Potrero Hill
106,East New York
107,Brentwood
108,Shaw
109,Westside
110,Highland Park
111,Sunset Park
112,North End
113,Lincoln Park
114,Loop
115,Culver City
116,Haight-Ashbury
117,Wicker Park
118,Topanga
119,Jackson Heights
120,Laurel Canyon
121,West End
122,Forest Hills
